player_id,player_name,team_id,general_position,mins_played,poss_pct,seq_present,clear,tack,block,drib_past,interc,pressure,team_name,league,clear_90,tack_90,block_90,drib_past_90,interc_90,pressure_90,sequences_p90
3500,Granit Xhaka,185,Attacking Midfielder,190.54444999999998,0.6326070623591284,364,4.0,6.0,2.0,0.0,0.0,27.0,Borussia Mönchengladbach,bundesliga,1.889322937508807,2.8339844062632107,0.9446614687544035,0.0,0.0,12.752929828184447,171.92838731330144
3500,Granit Xhaka,185,Center Midfielder,281.07945,0.5186015239802779,619,9.0,13.0,8.0,4.0,9.0,58.0,Borussia Mönchengladbach,bundesliga,2.881747491678954,4.162524154647378,2.5615533259368477,1.2807766629684239,2.881747491678954,18.571261613042147,198.2001885943636
3500,Granit Xhaka,185,Defensive Midfielder,1674.9211833334,0.5802687643395608,3371,51.0,46.0,50.0,15.0,30.0,298.0,Borussia Mönchengladbach,bundesliga,2.740427457526723,2.471758098945672,2.686693585810513,0.8060080757431539,1.6120161514863078,16.01269377143066,181.1368815553448
8221,Jonathan Tah,904,Center Back,2636.1601166667,0.5408791208791209,5622,133.0,44.0,55.0,25.0,61.0,300.0,Bayer Leverkusen,bundesliga,4.540695356219675,1.5021849298771857,1.8777311623464819,0.8535141647029464,2.082574561875189,10.242169976435356,191.93826535839858
8667,Lukáš Hrádecký,184,Goalkeeper,3179.4772166666,0.45686887976920887,6597,18.0,0.0,1.0,3.0,0.0,4.0,Eintracht Frankfurt,bundesliga,0.5095177255896258,0.0,0.028306540310534766,0.08491962093160431,0.0,0.11322616124213906,186.73824642859785
8804,Jonas Hofmann,180,Wide Midfielder,14.4591333333,0.35353535353535354,29,0.0,0.0,0.0,1.0,0.0,6.0,Borussia Dortmund,bundesliga,0.0,0.0,0.0,6.224439454661239,0.0,37.346636727967436,180.50874418517594
8804,Jonas Hofmann,180,Winger,46.5050333334,0.6019736842105263,84,0.0,1.0,0.0,0.0,0.0,7.0,Borussia Dortmund,bundesliga,0.0,1.9352743896511055,0.0,0.0,0.0,13.546920727557739,162.56304873069286
8804,Jonas Hofmann,185,Attacking Midfielder,90.1112166667,0.7520759193357058,181,0.0,2.0,0.0,1.0,0.0,21.0,Borussia Mönchengladbach,bundesliga,0.0,1.9975315688587054,0.0,0.9987657844293527,0.0,20.97408147301641,180.77660698171286
8804,Jonas Hofmann,185,Center Forward,9.8190166666,0.3125,23,0.0,0.0,0.0,0.0,0.0,9.0,Borussia Mönchengladbach,bundesliga,0.0,0.0,0.0,0.0,0.0,82.49298555070854,210.81540751847737
8804,Jonas Hofmann,185,Defensive Midfielder,11.9586833333,0.8387096774193549,26,0.0,0.0,0.0,1.0,0.0,7.0,Borussia Mönchengladbach,bundesliga,0.0,0.0,0.0,7.525912133603131,0.0,52.68138493522192,195.6737154736814
8804,Jonas Hofmann,185,Wide Midfielder,56.8346,0.5158924205378973,130,0.0,0.0,0.0,1.0,1.0,14.0,Borussia Mönchengladbach,bundesliga,0.0,0.0,0.0,1.5835424195824375,1.5835424195824375,22.169593874154124,205.86051454571685
6321,Milos Veljkovic,176,Defensive Midfielder,52.7452333333,0.3977272727272727,109,6.0,2.0,3.0,3.0,2.0,19.0,Werder Bremen,bundesliga,10.237891954856103,3.412630651618701,5.1189459774280515,5.1189459774280515,3.412630651618701,32.41999119037766,185.9883705132192
8576,Mitchell Weiser,173,Center Midfielder,91.04725,0.19501133786848074,175,0.0,4.0,2.0,0.0,4.0,49.0,Hertha Berlin,bundesliga,0.0,3.9539909222958407,1.9769954611479204,0.0,3.9539909222958407,48.43638879812405,172.98710285044302
8576,Mitchell Weiser,173,Full Back,1595.4526,0.519444022482151,3119,35.0,51.0,34.0,19.0,27.0,265.0,Hertha Berlin,bundesliga,1.9743613818423686,2.8769265849703087,1.9179510566468725,1.0717961787144288,1.5230787802783987,14.948736176806506,175.9438042847528
8576,Mitchell Weiser,173,Wide Midfielder,447.12199999989997,0.5154550658271322,883,0.0,7.0,9.0,5.0,4.0,110.0,Hertha Berlin,bundesliga,0.0,1.4090114107562164,1.8115860995437068,1.006436721968726,0.8051493775749808,22.141607883311973,177.73672509967702
8576,Mitchell Weiser,173,Winger,94.4555166667,0.4094412331406551,188,2.0,3.0,2.0,1.0,4.0,27.0,Hertha Berlin,bundesliga,1.9056589424538972,2.8584884136808455,1.9056589424538972,0.9528294712269486,3.8113178849077944,25.72639572312761,179.13194059066632
8826,Leonardo Bittencourt,186,Attacking Midfielder,97.4445,0.48623853211009177,188,0.0,5.0,2.0,0.0,1.0,22.0,FC Köln,bundesliga,0.0,4.618013330665147,1.8472053322660589,0.0,0.9236026661330294,20.31925865492665,173.63730123300954
8826,Leonardo Bittencourt,186,Center Midfielder,96.5787833333,0.6536388140161725,200,1.0,2.0,2.0,0.0,2.0,20.0,FC Köln,bundesliga,0.9318816917521505,1.863763383504301,1.863763383504301,0.0,1.863763383504301,18.63763383504301,186.3763383504301
8826,Leonardo Bittencourt,186,Defensive Midfielder,216.2983999999,0.3426610348468849,394,0.0,11.0,1.0,2.0,5.0,76.0,FC Köln,bundesliga,0.0,4.577010278395299,0.4160918434904817,0.8321836869809635,2.080459217452409,31.62298010527661,163.9401863352498
8826,Leonardo Bittencourt,186,Wide Midfielder,330.8691,0.47762442492680884,691,0.0,16.0,2.0,2.0,2.0,106.0,FC Köln,bundesliga,0.0,4.352174319088727,0.5440217898860908,0.5440217898860908,0.5440217898860908,28.833154863962818,187.9595284056444
8826,Leonardo Bittencourt,186,Winger,184.70069999999998,0.556570625439213,369,2.0,7.0,2.0,7.0,2.0,64.0,FC Köln,bundesliga,0.9745496362493484,3.4109237268727193,0.9745496362493484,3.4109237268727193,0.9745496362493484,31.18558835997915,179.8044078880048
8239,Robin Knoche,179,Center Back,764.9891666666999,0.5616953565745697,1552,35.0,18.0,24.0,8.0,13.0,93.0,Wolfsburg,bundesliga,4.117705370555178,2.117677047714091,2.8235693969521214,0.9411897989840405,1.5294334233490658,10.94133141318947,182.59082100290385
8239,Robin Knoche,179,Defensive Midfielder,3.48675,0.875,4,1.0,0.0,0.0,0.0,0.0,0.0,Wolfsburg,bundesliga,25.812002581200257,0.0,0.0,0.0,0.0,0.0,103.24801032480103
8397,Kevin Vogt,186,Attacking Midfielder,17.6952333333,0.34375,39,2.0,1.0,0.0,0.0,0.0,9.0,FC Köln,bundesliga,10.172230939801437,5.086115469900719,0.0,0.0,0.0,45.775039229106476,198.35850332612804
8397,Kevin Vogt,186,Center Back,91.3101833333,0.48247978436657685,197,2.0,0.0,4.0,2.0,0.0,15.0,FC Köln,bundesliga,1.9713025801620048,0.0,3.9426051603240095,1.9713025801620048,0.0,14.784769351215036,194.17330414595747
8397,Kevin Vogt,186,Defensive Midfielder,896.5611,0.4326345110687582,1765,25.0,18.0,19.0,13.0,13.0,234.0,FC Köln,bundesliga,2.5095891401043384,1.8069041808751238,1.9072877464792972,1.304986352854256,1.304986352854256,23.489754351376607,177.1769932913663
44955,Aïssa Bilal Laïdouni,145,Full Back,94.6044166667,0.4762484774665043,230,5.0,3.0,1.0,0.0,3.0,19.0,Angers,ligue_1,4.756648958424331,2.8539893750545984,0.9513297916848662,0.0,2.8539893750545984,18.07526604201246,218.8058520875192
3767,Ellyes Joris Skhiri,139,Center Back,280.7097333333,0.5021872265966754,611,14.0,4.0,13.0,3.0,5.0,37.0,Montpellier,ligue_1,4.488622410908503,1.282463545973858,4.168006524415039,0.9618476594803935,1.6030794324673225,11.862787800258188,195.89630664750683
3767,Ellyes Joris Skhiri,139,Center Midfielder,94.51305,0.33505154639175255,187,2.0,1.0,5.0,2.0,5.0,32.0,Montpellier,ligue_1,1.9044989025325072,0.9522494512662536,4.761247256331268,1.9044989025325072,4.761247256331268,30.471982440520115,178.07064738678943
3767,Ellyes Joris Skhiri,139,Defensive Midfielder,303.5706833333,0.5116841257050766,623,5.0,11.0,4.0,3.0,9.0,83.0,Montpellier,ligue_1,1.4823565802167087,3.261184476476759,1.185885264173367,0.8894139481300252,2.6682418443900757,24.607119231597363,184.7016298950019
3767,Ellyes Joris Skhiri,139,Full Back,97.3054166666,0.49117647058823527,222,3.0,2.0,4.0,2.0,4.0,26.0,Montpellier,ligue_1,2.7747684481441337,1.8498456320960892,3.6996912641921784,1.8498456320960892,3.6996912641921784,24.047993217249157,205.33286516266588
4440,Kevin Trapp,131,Goalkeeper,3101.2388166665,0.6949631793182737,5946,5.0,0.0,1.0,0.0,0.0,3.0,Paris Saint-Germain,ligue_1,0.14510330438972832,0.0,0.029020660877945664,0.0,0.0,0.08706198263383699,172.55684958026492
8227,Mario Götze,169,Attacking Midfielder,13.9897333333,0.8368794326241135,25,0.0,0.0,0.0,0.0,0.0,4.0,Bayern Munich,bundesliga,0.0,0.0,0.0,0.0,0.0,25.733156695923995,160.83222934952497
8227,Mario Götze,169,Center Forward,91.04725,0.8049886621315193,175,0.0,2.0,3.0,1.0,0.0,21.0,Bayern Munich,bundesliga,0.0,1.9769954611479204,2.9654931917218805,0.9884977305739602,0.0,20.758452342053165,172.98710285044302
8227,Mario Götze,169,Center Midfielder,277.5068333333,0.6854622171077868,518,1.0,6.0,4.0,4.0,0.0,70.0,Bayern Munich,bundesliga,0.3243163381562766,1.9458980289376595,1.2972653526251063,1.2972653526251063,0.0,22.70214367093936,167.99586316495126
8227,Mario Götze,169,Wide Midfielder,116.9269333333,0.7333974975938402,241,0.0,5.0,1.0,2.0,1.0,35.0,Bayern Munich,bundesliga,0.0,3.848557275655865,0.769711455131173,1.539422910262346,0.769711455131173,26.939900929591055,185.50046068661268
8227,Mario Götze,169,Winger,203.0197,0.7424733672996757,369,0.0,3.0,0.0,1.0,2.0,47.0,Bayern Munich,bundesliga,0.0,1.3299201998623777,0.0,0.4433067332874593,0.8866134665749186,20.835416464510587,163.58018458307248
8319,Philipp Max,172,Full Back,1657.3901333334,0.47644787644787645,3292,39.0,46.0,34.0,22.0,29.0,255.0,Augsburg,bundesliga,2.1177874354425943,2.4979031289835727,1.8462762257704666,1.1946493225573607,1.5747650160983393,13.8470716932785,178.7629804481287
