player_id,player_name,general_position,mins_played,poss_pct,clear,tack,block,drib_past,interc,pressure,clear_90,tack_90,block_90,drib_past_90,interc_90,pressure_90,clear_90_possadj,tack_90_possadj,block_90_possadj,drib_past_90_possadj,interc_90_possadj,pressure_90_possadj
3500,Granit Xhaka,Defensive Midfielder,1674.9211833334,0.5802687643395608,72.0,78.0,67.0,22.0,45.0,449.0,3.8688387635671386,4.1912419938644,3.6001694049860875,1.1821451777566256,2.418024227229462,24.126508400578405,4.4899325775281955,4.864093625655545,4.178131704088737,1.3719238431336152,2.8062078609551224,27.99971843486333
8221,Jonathan Tah,Center Back,2636.1601166667,0.5408791208791209,136.0,46.0,57.0,25.0,62.0,312.0,4.643117055984028,1.5704660630534213,1.9460122955227177,0.8535141647029464,2.116715128463307,10.65185677549277,5.022730142758987,1.6988646071096571,2.105114839244575,0.9232959821248138,2.289774035669538,11.522733856917675
8667,Lukáš Hrádecký,Goalkeeper,3179.4772166666,0.45686887976920887,18.0,0.0,1.0,3.0,0.0,4.0,0.5095177255896258,0.0,0.028306540310534766,0.08491962093160431,0.0,0.11322616124213906,0.46556558502537504,0.0,0.025864754723631946,0.07759426417089585,0.0,0.10345901889452778
8576,Mitchell Weiser,Full Back,1595.4526,0.519444022482151,38.0,74.0,54.0,30.0,42.0,556.0,2.1435923574288576,4.174364064466722,3.0461575605567974,1.6923097558648874,2.369233658210842,31.364140808695915,2.2269524734096855,4.336696921903071,3.164616672740079,1.7581203737444882,2.4613685232422835,32.58383092673118
8239,Robin Knoche,Center Back,764.9891666666999,0.5616953565745697,39.0,18.0,25.0,8.0,14.0,99.0,4.588300270047197,2.117677047714091,2.9412181218251265,0.9411897989840405,1.6470821482220708,11.647223762427501,5.15445391251071,2.378978728851097,3.3041371234043013,1.0573238794893765,1.8503167891064087,13.084383008681034
8397,Kevin Vogt,Defensive Midfielder,896.5611,0.4326345110687582,39.0,31.0,38.0,21.0,17.0,405.0,3.914959058562768,3.1118905337293796,3.8145754929585944,2.1080548776876444,1.7065206152709502,40.65534406969029,3.3874927963110184,2.6926224791190143,3.3006340066620177,1.8240345826290099,1.476599424033008,35.17780980784519
4440,Kevin Trapp,Goalkeeper,3101.2388166665,0.6949631793182737,5.0,0.0,1.0,0.0,0.0,4.0,0.14510330438972832,0.0,0.029020660877945664,0.0,0.0,0.11608264351178266,0.20168290749654563,0.0,0.040336581499309125,0.0,0.0,0.1613463259972365
8319,Philipp Max,Full Back,1657.3901333334,0.47644787644787645,62.0,59.0,44.0,32.0,34.0,368.0,3.3667389999343804,3.203832274131104,2.3892986451147213,1.7376717419016157,1.8462762257704666,19.98322503186858,3.208151294145966,3.0529181670098704,2.276752531329395,1.6558200227850144,1.7593087742090778,19.041930262027666
8318,Jeffrey Gouweleeuw,Center Back,1033.0983166668,0.3939979538479027,64.0,20.0,25.0,3.0,12.0,121.0,5.575461606194586,1.7423317519358081,2.1779146899197603,0.26134976279037125,1.045399051161485,10.54110709921164,4.393440929196416,1.37295029037388,1.7161878629673502,0.20594254355608202,0.8237701742243281,8.306349256761974
5460,Andrej Kramarić,Center Forward,744.2087166668,0.5448750209696359,2.0,6.0,11.0,2.0,3.0,193.0,0.24186763198124472,0.7256028959437342,1.330271975896846,0.24186763198124472,0.3628014479718671,23.340226486190115,0.2635752620953138,0.7907257862859414,1.4496639415242258,0.2635752620953138,0.3953628931429707,25.43501279219778
8393,Oliver Baumann,Goalkeeper,3104.5958333337,0.4468705109788631,5.0,0.0,1.0,0.0,0.0,1.0,0.14494640338313933,0.0,0.028989280676627864,0.0,0.0,0.028989280676627864,0.12954454668874377,0.0,0.025908909337748753,0.0,0.0,0.025908909337748753
9397,Pavel Kadeřábek,Full Back,1414.6402166669,0.45798740990785514,87.0,35.0,71.0,20.0,48.0,264.0,5.53497624890704,2.2267145828936368,4.517049582441378,1.2724083330820781,3.0537799993969874,16.795789996683432,5.069898872276862,2.0396144888470134,4.137503677375371,1.1654939936268647,2.7971855847044753,15.384520715874615
9397,Pavel Kadeřábek,Wing Back,471.9389,0.35027027027027025,87.0,35.0,71.0,20.0,48.0,264.0,16.591130758663887,6.674592833945242,13.53988832028892,3.81405304796871,9.153727315124904,50.34550023318697,11.622759709853186,4.675822871780018,9.485240682753751,2.671898783874296,6.412557081298311,35.26906394714071
11396,Florian Grillitsch,Defensive Midfielder,566.2491999999,0.5272,28.0,67.0,51.0,38.0,60.0,574.0,4.450337413281017,10.64902166749386,8.105971717047566,6.039743632309951,9.536437314173607,91.23191697226083,4.692435768563504,11.228328446205527,8.546936578454954,6.368305685907612,10.055219504064652,96.19493325555182
11396,Florian Grillitsch,Wide Midfielder,517.6620666666,0.37523603992446725,28.0,67.0,51.0,38.0,60.0,574.0,4.868040681881767,11.64852591735994,8.866788384856074,6.606626639696683,10.431515746889499,99.79483397857621,3.6533286153210347,8.741893472375333,6.654277120763313,4.958088835078547,7.8285613185450735,74.8932366140812
9219,Tobias Kempe,Wide Midfielder,556.60775,0.21795499021526418,15.0,23.0,33.0,11.0,20.0,283.0,2.4254064015457923,3.718956482370215,5.335894083400743,1.778631361133581,3.233875202061056,45.759334109163945,1.0572588570339045,1.6211302474519869,2.32596948547459,0.7753231618248633,1.409678476045206,19.946950436039664
